Original_Intent__c,Ext_Id__c,Utterance__c
atis_flight,a0BB0000002YkDiMAK,show me the cheapest one way flights from montreal to orlando
atis_flight,a0BB0000002YkDjMAK,show me the cheapest one way flights from orlando to montreal
atis_flight,a0BB0000002YkDkMAK,show me the cheapest economy flights from miami to new york
atis_flight,a0BB0000002YkDlMAK,kansas city to las vegas economy
atis_flight,a0BB0000002YkDmMAK,kansas city to las vegas economy
atis_airline,a0BB0000002YkDnMAK,what airline is hp
atis_ground_service,a0BB0000002YkDoMAK,ground transportation in las vegas
atis_ground_service,a0BB0000002YkDpMAK,ground transportation for las vegas
atis_flight,a0BB0000002YkDqMAK,las vegas to baltimore economy
atis_flight,a0BB0000002YkDrMAK,las vegas to baltimore economy
atis_flight,a0BB0000002YkDsMAK,baltimore to kansas city economy
atis_airline,a0BB0000002YkDtMAK,what airline is us
atis_airline,a0BB0000002YkDuMAK,which airline is us
atis_airline,a0BB0000002YkDvMAK,which airline is us
atis_airline,a0BB0000002YkDwMAK,which airline is us
atis_airline,a0BB0000002YkDxMAK,which airline is us
atis_flight,a0BB0000002YkDyMAK,columbus to chicago one way before 10 am
atis_airline,a0BB0000002YkDzMAK,what airline is hp
atis_flight,a0BB0000002YkAnMAK,show me the flights between oakland and salt lake city
atis_abbreviation,a0BB0000002YkAmMAK,what is mci
atis_abbreviation,a0BB0000002YkAoMAK,what does not sa mean
atis_flight,a0BB0000002YkApMAK,what is the earliest daily flight between oakland and salt lake city
atis_airline,a0BB0000002YkAqMAK,what airline is dl
atis_flight,a0BB0000002YkArMAK,what is the latest daily flight between oakland and salt lake city
atis_flight,a0BB0000002YkAsMAK,show me the flights between los angeles and dallas
atis_ground_service,a0BB0000002YkAtMAK,what ground transportation is available from dallas fort worth airport to downtown dallas
atis_flight,a0BB0000002YkAuMAK,what are the flights between dallas and phoenix
atis_ground_service,a0BB0000002YkAvMAK,what ground transportation is available between phoenix airport and downtown phoenix
atis_flight,a0BB0000002YkAwMAK,are there any flights between dallas and phoenix using a dc10 aircraft
atis_airline,a0BB0000002YkAxMAK,what airline is aa
atis_flight,a0BB0000002YkAyMAK,show me the flights between milwaukee and indiana
atis_flight,a0BB0000002YkIEMA0,now show me all the flights from st. louis to burbank
atis_airline,a0BB0000002YkIFMA0,is there one airline that flies from burbank to milwaukee milwaukee to st. louis and from st. louis to burbank
atis_flight,a0BB0000002YkIDMA0,find me all the flights from milwaukee to st. louis
atis_flight,a0BB0000002YkIGMA0,find me all the round trip flights from burbank to milwaukee stopping in st. louis
atis_flight,a0BB0000002YkIHMA0,i'd like to book two flights to westchester county
atis_flight,a0BB0000002YkIIMA0,i want to book a flight from salt lake city to westchester county
atis_flight,a0BB0000002YkIJMA0,i'd like to book a flight from cincinnati to new york city on united airlines for next saturday
atis_flight,a0BB0000002YkIKMA0,please find all the flights from cincinnati to any airport in the new york city area that arrive next saturday before 6 pm
atis_flight,a0BB0000002YkILMA0,find me a flight from cincinnati to any airport in the new york city area
atis_flight,a0BB0000002YkIMMA0,i'd like to fly from miami to chicago on american airlines
atis_flight,a0BB0000002YkINMA0,i would like to book a round trip flight from kansas city to chicago
atis_flight,a0BB0000002YkIOMA0,find me a flight that flies from memphis to tacoma
atis_flight,a0BB0000002Yk6PMAS,which round trip flights leave chicago next tuesday around 6 pm and arrive in detroit
atis_flight,a0BB0000002Yk6QMAS,which round trip flights leave chicago next tuesday and arrive in detroit around 6 pm
atis_flight,a0BB0000002Yk6OMAS,show me round trip flights from chicago to detroit leaving next tuesday and returning the day after
atis_flight,a0BB0000002Yk6RMAS,which flights leave on monday from montreal and arrive in chicago in the morning
atis_flight,a0BB0000002Yk6SMAS,which flights leave chicago on april twelfth and arrive in indianapolis in the morning
atis_flight,a0BB0000002Yk6TMAS,which flights leave on wednesday april thirteenth from indianapolis and arrive in montreal in the morning
atis_flight,a0BB0000002Yk6UMAS,which flights leave april twelfth from indianapolis and arrive in montreal around 10 pm
atis_flight,a0BB0000002Yk6VMAS,i'd like to go from long beach to st. louis and i'd like to stop in dallas i'd also like to have lunch during my flight
atis_flight,a0BB0000002Yk6WMAS,next wednesday i would like to leave kansas city on a trip to chicago which arrives in chicago around 7 pm
atis_flight,a0BB0000002Yk6XMAS,i would like to return from chicago around 7 pm to kansas city
atis_flight,a0BB0000002Yk6YMAS,i would like to leave this afternoon on an american flight from cincinnati to burbank
atis_flight,a0BB0000002Yk6ZMAS,on sunday evening i would like to leave montreal quebec on a flight to san diego california
atis_flight,a0BB0000002Yk6aMAC,what are the flights on sunday from montreal quebec to san diego california
atis_flight,a0BB0000002Yk6bMAC,on tuesday are the flights from san diego california to indianapolis indiana i would like the flight to be in the afternoon
atis_flight,a0BB0000002Yk6cMAC,on thursday morning i would like a nonstop flight from indianapolis to toronto
atis_flight,a0BB0000002Yk6dMAC,on friday morning i would like to fly from toronto to montreal
atis_flight,a0BB0000002Yk6eMAC,i would like an early morning flight today from los angeles to charlotte
atis_flight,a0BB0000002Yk6fMAC,on wednesday night i would like a flight from charlotte to newark
atis_flight,a0BB0000002Yk6gMAC,on friday night i would like a flight from newark to los angeles
atis_flight,a0BB0000002Yk6hMAC,find a flight from tampa to montreal by way of new york
atis_flight,a0BB0000002Yk6iMAC,please find a flight from miami florida to las vegas nevada arriving before 4 o'clock pm
atis_flight,a0BB0000002Yk6jMAC,please find a flight from las vegas to michigan
atis_flight,a0BB0000002Yk6kMAC,please find a flight from detroit michigan to st. petersburg arriving before 10 pm
atis_flight,a0BB0000002Yk6lMAC,please find a flight from st. petersburg to miami on thursday
atis_flight,a0BB0000002Yk6mMAC,please find a flight from san diego to toronto on alaska airlines
atis_flight,a0BB0000002Yk6nMAC,please find the flights from columbus to houston with a layover in nashville tomorrow
atis_flight,a0BB0000002Yk6oMAC,please give me the flights from nashville to houston nonstop with dinner served
atis_flight,a0BB0000002Yk6pMAC,please find flights available from kansas city to newark
atis_flight,a0BB0000002Yk6qMAC,please find a flight that goes from kansas city to newark to orlando back to kansas city
atis_flight,a0BB0000002Yk6rMAC,please find a flight from kansas city to newark
atis_flight,a0BB0000002Yk6sMAC,please find a flight from newark to orlando
atis_flight,a0BB0000002Yk6tMAC,please find a flight from orlando to kansas city
atis_flight,a0BB0000002Yk6uMAC,i would like to fly from columbus to phoenix through cincinnati in the afternoon
atis_flight,a0BB0000002Yk6vMAC,does the airport at burbank have a flight that comes in from kansas city
atis_flight,a0BB0000002Yk6wMAC,which flights arrive in burbank from kansas city on saturdays in the afternoon
atis_flight,a0BB0000002Yk6xMAC,which flights arrive in burbank from las vegas on saturday april twenty third in the afternoon
atis_flight,a0BB0000002Yk6yMAC,which flights are available from orlando to cleveland that arrive around 10 pm
atis_flight,a0BB0000002Yk6zMAC,what flights are available from indianapolis to san diego on april twenty first in the late afternoon
atis_flight,a0BB0000002Yk70MAC,what flights leave cleveland going to indianapolis on april twenty first in the morning
atis_flight,a0BB0000002Yk71MAC,which flights are available on april twenty first in the morning from nashville to tacoma
atis_flight,a0BB0000002Yk72MAC,which flights are available from tacoma to san jose in the morning on april twenty second
atis_flight,a0BB0000002Yk73MAC,which flights are available from san jose to nashville leaving in the morning on april twenty three
atis_airfare,a0BB0000002Yk74MAC,what is the most expensive one way fare between detroit and westchester county
atis_airline,a0BB0000002Yk75MAC,what airlines fly between detroit and westchester county
atis_flight,a0BB0000002Yk77MAC,what is the latest flight from baltimore to oakland that serves dinner
atis_flight,a0BB0000002Yk78MAC,what is the earliest flight between baltimore and oakland that serves breakfast
atis_airline,a0BB0000002Yk79MAC,what airline flies from boston to san diego
atis_flight,a0BB0000002Yk7AMAS,what is the latest breakfast flight from dallas to tampa
atis_flight,a0BB0000002Yk7BMAS,show me all lufthansa flights from seattle to boston with stopovers in minneapolis
atis_flight,a0BB0000002Yk7CMAS,show me all flights from seattle to boston with stopovers in minneapolis
atis_flight,a0BB0000002Yk7DMAS,list philadelphia to san francisco flights with stopovers in dallas
atis_flight,a0BB0000002Yk7EMAS,show me the connecting flights between boston and denver and the types of aircraft used
atis_flight,a0BB0000002Yk7FMAS,show me all the morning flights from philadelphia to fort worth
atis_flight,a0BB0000002Yk7GMAS,show me all the flights from kansas city to st. paul
atis_flight,a0BB0000002Yk7HMAS,show me northwest flight 608 from kansas city to st. paul
atis_flight,a0BB0000002Yk7IMAS,show me all the flights from indianapolis to charlotte on monday
atis_ground_service,a0BB0000002Yk7JMAS,what is the ground transportation between the charlotte airport charlotte airport and downtown charlotte
atis_flight,a0BB0000002Yk7KMAS,show me all the flights from charlotte to minneapolis that leave at 2 pm or later on monday
atis_flight,a0BB0000002Yk7LMAS,show me all the flights from charlotte to minneapolis on tuesday morning
